timestamp,time_seconds,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2026-02-12 18:11:48.135,0.000,0.321045,0.508301,-0.775391,1.565,-2.718,0.252,31.66
2026-02-12 18:11:48.235,0.100,0.316895,0.508545,-0.783691,1.687,-2.870,0.344,31.56
2026-02-12 18:11:48.335,0.200,0.323242,0.509277,-0.781006,1.679,-3.008,0.504,31.46
2026-02-12 18:11:48.435,0.300,0.323486,0.509521,-0.777832,1.916,-2.794,0.046,31.71
2026-02-12 18:11:48.535,0.400,0.324463,0.508545,-0.781250,1.695,-3.031,0.374,31.51
2026-02-12 18:11:48.635,0.500,0.322266,0.508057,-0.780273,1.550,-2.687,0.290,31.66
2026-02-12 18:11:48.735,0.600,0.326660,0.507568,-0.782471,1.634,-2.947,-0.084,31.71
2026-02-12 18:11:48.835,0.700,0.322021,0.505859,-0.780273,1.511,-2.962,0.313,31.71
2026-02-12 18:11:48.935,0.800,0.322021,0.505127,-0.775879,1.710,-2.756,0.313,31.46
2026-02-12 18:11:49.035,0.900,0.320801,0.508057,-0.781982,1.802,-2.985,0.214,31.66
2026-02-12 18:11:49.135,1.000,0.323486,0.508545,-0.778076,1.656,-2.878,0.313,31.56
2026-02-12 18:11:49.235,1.100,0.326172,0.507812,-0.777100,1.702,-2.733,0.023,31.71
2026-02-12 18:11:49.335,1.200,0.325195,0.507324,-0.776367,1.794,-2.718,-0.153,31.22
2026-02-12 18:11:49.435,1.300,0.323242,0.510498,-0.779053,1.634,-2.931,0.504,31.51
2026-02-12 18:11:49.535,1.400,0.320801,0.507324,-0.776367,1.756,-2.725,0.389,31.51
2026-02-12 18:11:49.635,1.500,0.323730,0.507080,-0.783203,1.580,-2.969,0.191,31.66
2026-02-12 18:11:49.735,1.600,0.321289,0.502930,-0.780518,1.718,-2.969,0.176,31.36
2026-02-12 18:11:49.835,1.700,0.320801,0.507324,-0.768066,1.733,-3.031,0.328,31.56
2026-02-12 18:11:49.935,1.800,0.321777,0.507080,-0.777344,1.855,-2.771,0.374,31.66
2026-02-12 18:11:50.035,1.900,0.322510,0.507812,-0.781982,1.588,-2.603,0.344,31.56
2026-02-12 18:11:50.135,2.000,0.322754,0.508057,-0.780029,1.672,-2.611,0.328,31.66
2026-02-12 18:11:50.235,2.100,0.321045,0.507080,-0.782959,1.794,-2.756,0.359,31.71
2026-02-12 18:11:50.335,2.200,0.321533,0.506836,-0.782471,1.809,-2.580,0.130,31.66
2026-02-12 18:11:50.435,2.300,0.320801,0.506348,-0.773193,1.710,-2.962,0.321,31.66
2026-02-12 18:11:50.535,2.400,0.321777,0.508301,-0.781006,1.412,-2.863,0.145,31.36
2026-02-12 18:11:50.635,2.500,0.318359,0.506348,-0.779053,1.718,-2.672,0.435,31.51
2026-02-12 18:11:50.735,2.600,0.324219,0.510742,-0.775635,1.740,-3.214,0.267,31.51
2026-02-12 18:11:50.835,2.700,0.321289,0.507080,-0.783691,1.725,-2.840,0.344,31.51
2026-02-12 18:11:50.935,2.800,0.320557,0.506348,-0.777100,1.802,-2.618,0.443,31.46
2026-02-12 18:11:51.035,2.900,0.322021,0.507080,-0.775879,1.748,-3.000,0.076,31.51
