timestamp,time_seconds,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2026-02-13 16:09:27.817,0.000,0.033056,-0.015604,1.775323,1.110,-2.357,0.871,32.39
2026-02-13 16:09:27.920,0.102,0.032812,-0.018777,1.773614,1.355,-2.196,0.825,32.20
2026-02-13 16:09:28.018,0.200,0.034276,-0.018289,1.776788,1.240,-2.403,0.993,32.25
2026-02-13 16:09:28.119,0.301,0.031347,-0.018533,1.780450,1.286,-2.059,0.856,32.29
2026-02-13 16:09:28.218,0.400,0.034032,-0.016336,1.781671,1.278,-2.448,0.596,32.20
2026-02-13 16:09:28.318,0.500,0.034032,-0.020486,1.776299,1.095,-2.250,0.833,32.20
2026-02-13 16:09:28.419,0.601,0.031103,-0.017557,1.776788,1.118,-2.380,0.871,32.25
2026-02-13 16:09:28.518,0.700,0.029394,-0.019266,1.772149,1.149,-2.212,0.901,32.20
2026-02-13 16:09:28.620,0.802,0.031591,-0.016580,1.776299,1.072,-2.105,0.871,32.20
2026-02-13 16:09:28.722,0.900,0.036229,-0.019510,1.774835,1.110,-2.326,0.787,32.10
2026-02-13 16:09:28.818,1.000,0.039892,-0.020242,1.774346,1.087,-2.242,0.733,32.20
2026-02-13 16:09:28.921,1.100,0.038183,-0.011941,1.780206,1.248,-2.021,1.001,32.10
2026-02-13 16:09:29.018,1.200,0.029638,-0.026102,1.773126,1.149,-2.418,0.955,32.29
2026-02-13 16:09:29.118,1.300,0.032812,-0.013406,1.784112,1.026,-2.319,1.008,32.20
2026-02-13 16:09:29.218,1.400,0.034276,-0.022439,1.772881,1.103,-2.128,0.703,32.25
2026-02-13 16:09:29.318,1.500,0.036229,-0.019266,1.780450,1.194,-1.983,0.795,32.29
2026-02-13 16:09:29.418,1.600,0.036474,-0.019510,1.774835,0.851,-1.990,0.741,32.10
2026-02-13 16:09:29.517,1.700,0.034032,-0.022684,1.773370,1.003,-2.311,0.779,32.25
2026-02-13 16:09:29.618,1.800,0.035497,-0.014871,1.771172,1.164,-2.235,0.688,32.05
2026-02-13 16:09:29.722,1.903,0.031347,-0.016336,1.777276,1.240,-2.090,0.856,31.85
2026-02-13 16:09:29.818,2.000,0.031103,-0.019754,1.771417,1.026,-2.357,1.039,32.20
2026-02-13 16:09:29.918,2.100,0.034521,-0.023904,1.772393,1.034,-2.174,0.871,32.29
2026-02-13 16:09:30.017,2.200,0.035009,-0.018533,1.780938,1.126,-2.395,0.810,32.25
2026-02-13 16:09:30.117,2.300,0.036718,-0.021463,1.776299,1.347,-2.258,0.833,32.25
2026-02-13 16:09:30.217,2.400,0.036474,-0.016336,1.779962,1.080,-2.273,0.588,32.25
2026-02-13 16:09:30.317,2.500,0.033300,-0.021463,1.777764,1.202,-2.303,0.665,32.20
2026-02-13 16:09:30.417,2.600,0.034765,-0.013895,1.773370,1.278,-2.326,0.573,32.39
2026-02-13 16:09:30.517,2.700,0.033300,-0.016092,1.780206,1.232,-2.135,0.840,32.10
2026-02-13 16:09:30.618,2.800,0.032323,-0.017557,1.778985,1.187,-2.487,0.985,32.20
2026-02-13 16:09:30.717,2.900,0.035497,-0.019754,1.778985,1.408,-2.090,1.046,32.59
