timestamp,time_seconds,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2026-02-13 16:29:27.177,0.000,0.032323,-0.014627,1.772637,1.255,-2.227,0.504,32.78
2026-02-13 16:29:27.277,0.100,0.030614,-0.015848,1.776299,1.110,-2.647,0.802,32.93
2026-02-13 16:29:27.377,0.200,0.026464,-0.011697,1.772149,1.202,-2.273,0.787,32.93
2026-02-13 16:29:27.477,0.300,0.027440,-0.015359,1.774346,1.286,-2.296,0.802,32.64
2026-02-13 16:29:27.577,0.400,0.034276,-0.015115,1.777764,1.171,-2.380,0.688,32.93
2026-02-13 16:29:27.677,0.500,0.029394,-0.013650,1.772881,1.034,-2.219,0.741,32.98
2026-02-13 16:29:27.777,0.600,0.030126,-0.015359,1.781426,1.126,-2.120,0.733,32.98
2026-02-13 16:29:27.877,0.700,0.032079,-0.011941,1.774835,1.141,-2.403,0.749,32.78
2026-02-13 16:29:27.978,0.801,0.034276,-0.014139,1.774346,1.026,-1.906,0.642,32.98
2026-02-13 16:29:28.077,0.900,0.033544,-0.012918,1.772881,1.263,-2.090,0.382,32.98
2026-02-13 16:29:28.177,1.000,0.027685,-0.013406,1.777276,1.217,-2.563,0.741,32.78
2026-02-13 16:29:28.277,1.100,0.031835,-0.013162,1.776788,1.156,-2.319,0.840,32.83
2026-02-13 16:29:28.377,1.200,0.031835,-0.017068,1.776788,1.087,-2.280,0.833,32.64
2026-02-13 16:29:28.477,1.300,0.031591,-0.013895,1.779717,0.965,-2.250,0.642,32.83
2026-02-13 16:29:28.577,1.400,0.032079,-0.012674,1.775811,1.095,-1.990,0.932,32.98
2026-02-13 16:29:28.677,1.500,0.029394,-0.013406,1.775323,1.095,-1.937,0.680,33.08
2026-02-13 16:29:28.777,1.600,0.030858,-0.015848,1.777520,1.187,-2.303,0.787,32.54
2026-02-13 16:29:28.877,1.700,0.035497,-0.015848,1.773126,0.996,-2.219,1.085,32.83
2026-02-13 16:29:28.977,1.800,0.030370,-0.015604,1.778741,1.286,-2.242,0.833,32.93
2026-02-13 16:29:29.077,1.900,0.030126,-0.012918,1.779473,1.003,-2.425,1.008,32.93
2026-02-13 16:29:29.177,2.000,0.030858,-0.015359,1.779473,1.316,-2.128,0.871,32.83
2026-02-13 16:29:29.277,2.100,0.032079,-0.014139,1.778008,1.026,-2.364,0.863,32.93
2026-02-13 16:29:29.377,2.200,0.031835,-0.011697,1.778985,1.362,-2.196,0.703,32.78
